task,method,AP,P_at_20,R_at_20,F1_native,n_flagged,precision,recall,f1,groups_found,MAPE,MAE
anomaly,robust_zscore_MAD,0.4,0.2,0.2,0.23,154.0,,,,,,
anomaly,isolation_forest,0.979,0.95,0.95,0.95,20.0,,,,,,
anomaly,stl_residual,0.256,0.25,0.25,0.212,112.0,,,,,,
recurring,merchant_cadence_amount_cluster,,,,,334.0,0.988,1.0,0.994,8.0,,
duplicate,same_merchant_amount_within_2d,,,,,10.0,0.4,0.667,0.5,,,
forecast,seasonal_naive_lag12,,,,,,,,,,18.91,2520.5
forecast,naive_lag1,,,,,,,,,,26.25,3572.5
forecast,prophet,,,,,,,,,,15.79,2152.4
forecast,lightgbm,,,,,,,,,,17.08,2360.3
