method,n_test,macro_f1,accuracy,fit_pred_sec,dining,entertainment,groceries,health,income,other,rent,shopping,transport,utilities
keyword (baseline),180,0.658,0.6056,0.0,0.5263,0.7586,0.8846,0.7619,0.8,0.3146,0.6667,0.76,0.4706,0.6364
tfidf_lgbm,180,0.8501,0.8611,3.71,0.9455,1.0,0.9492,0.7692,0.8,0.9032,0.9231,0.8889,0.7222,0.6
tfidf_linsvc,180,0.9752,0.9778,0.08,1.0,1.0,0.9831,0.96,1.0,0.9677,1.0,1.0,0.9524,0.8889
sbert_lgbm,180,0.9388,0.9389,18.71,0.9286,0.9189,0.9667,0.9167,1.0,0.9091,0.9231,0.9492,0.9474,0.9286
distilbert,180,0.9943,0.9944,71.65,1.0,1.0,0.9831,0.96,1.0,1.0,1.0,1.0,1.0,1.0
